yr,PricesPerBushel,PricePerTon,Deflator2010,Deflator2016,Deflator2020,r.P.Ton.b2010,r.P.Ton.b2016,r.P.Ton.b2020
1960,1.76,64.66903052,0.17265838,0.156860584,0.146420023,374.5490399,412.2707489,441.6679454
1961,1.74,63.93415517,0.174555922,0.158584505,0.147977682,366.2674666,403.155119,432.0526863
1962,1.83,67.24109423,0.176701033,0.160533345,0.149781752,380.5359434,418.8606074,448.9271457
1963,2.04,74.95728537,0.17870297,0.16235211,0.151497818,419.4518169,461.6957894,494.7746878
1964,1.85,67.97596958,0.181447061,0.164845123,0.153803506,374.6325199,412.3626363,441.96632
1965,1.37,50.33896125,0.184757349,0.167852529,0.156628415,272.4598588,299.8999278,321.3909903
1966,1.35,49.60408591,0.189946462,0.172566851,0.161010983,261.1477228,287.4485202,308.0788965
1967,1.63,59.89234076,0.195467591,0.177582811,0.165683962,306.4054792,337.264291,361.4854446
1968,1.39,51.0738366,0.203791925,0.18514549,0.172733033,250.6175682,275.8578491,295.6807724
1969,1.24,45.5622715,0.213812454,0.194249167,0.181207758,213.0945629,234.5558142,251.4366488
1970,1.25,45.92970917,0.225098549,0.204502613,0.190764925,204.0426712,224.5922854,240.766006
1971,1.33,48.86921056,0.23653154,0.214889515,0.200436497,206.6075864,227.4155192,243.8139328
1972,1.34,49.23664823,0.246756748,0.224179143,0.20910483,199.535164,219.6308166,235.4639456
1973,1.76,64.66903052,0.260183246,0.236377151,0.22056287,248.5518632,273.5841021,293.1999871
1974,3.95,145.137881,0.283563396,0.257618078,0.240407632,511.8357409,563.3839143,603.7157805
1975,4.09,150.2820084,0.309822347,0.281474403,0.262681287,485.0586465,533.9100361,572.1077818
1976,3.55,130.4403741,0.326838622,0.296933732,0.277131442,399.097185,439.291195,470.6805304
1977,2.73,100.3104848,0.347115515,0.315355341,0.294353703,288.9830059,318.0871596,340.7821398
1978,2.33,85.6129779,0.371483124,0.337493378,0.315060898,230.4626302,253.6730602,271.7346975
1979,2.97,109.128989,0.402142545,0.365347541,0.341197902,271.3689221,298.6991203,319.8407386
1980,3.78,138.8914405,0.438415216,0.398301356,0.372016685,316.8034216,348.7094344,373.3473416
1981,3.91,143.6681303,0.479358023,0.435498002,0.407218037,299.7094519,329.8938911,352.8039457
1982,3.66,134.4821885,0.509086067,0.462506007,0.432378203,264.1639539,290.768523,311.0290654
1983,3.55,130.4403741,0.52918037,0.480761732,0.449310054,246.4951112,271.3202098,290.3126094
1984,3.53,129.7054987,0.547966264,0.497828766,0.465520276,236.7034381,260.5423944,278.6248106
1985,3.39,124.5613713,0.565493064,0.513751909,0.480243241,220.2703785,242.454323,259.3714196
1986,3.08,113.1708034,0.576910186,0.524124393,0.489914813,196.1671092,215.9235571,231.0009832
1987,2.42,88.91991696,0.591621781,0.537489916,0.502024078,150.2985857,165.4355075,177.1228132
1988,2.57,94.43148206,0.612332084,0.55630528,0.519739158,154.2161264,169.7475928,181.6901432
1989,3.72,136.6868145,0.636144409,0.577938839,0.54011194,214.8675874,236.5074042,253.0712697
1990,3.72,136.6868145,0.659679994,0.599320978,0.560326317,207.2016975,228.0694646,243.9414507
1991,2.61,95.90123275,0.681628917,0.619261631,0.579282244,140.6941965,154.8638378,165.551825
1992,3,110.231302,0.697168274,0.633379177,0.592482751,158.1129065,174.0368267,186.0498078
1993,3.24,119.0498062,0.713757318,0.648450367,0.60651929,166.7931146,183.5912389,196.283627
1994,3.26,119.7846815,0.728955186,0.662257669,0.619473388,164.3237935,180.8732267,193.3653388
1995,3.45,126.7659973,0.744152682,0.676064634,0.632462687,170.3494462,187.5057369,200.4323733
1996,4.55,167.1841414,0.757735212,0.688404397,0.644035131,220.6366269,242.8574572,259.5885432
1997,4.3,157.9981996,0.770700875,0.700183735,0.655141157,205.005865,225.6524846,241.1666521
1998,3.38,124.1939336,0.779071976,0.707788902,0.662515841,159.4126568,175.467478,187.4580591
1999,2.65,97.37098345,0.790990284,0.718616716,0.672081808,123.1001005,135.4977992,144.8796594
2000,2.48,91.124543,0.808990376,0.734969845,0.687112785,112.6398357,123.9840567,132.619484
2001,2.62,96.26867043,0.82742815,0.751720611,0.702178964,116.3468639,128.0644284,137.0999067
2002,2.78,102.1476732,0.840125842,0.763256497,0.71328499,121.5861578,133.8313838,143.207378
2003,3.56,130.8078117,0.856883112,0.77848052,0.726529499,152.6553737,168.0296531,180.0447359
2004,3.4,124.928809,0.880441327,0.799883219,0.74609265,141.893395,156.1838103,167.4440955
2005,3.4,124.928809,0.908774417,0.825623905,0.769334342,137.4695486,151.3144281,162.3855872
2006,3.42,125.6636843,0.936695322,0.850990118,0.792611236,134.1564129,147.6676187,158.5439097
2007,4.26,156.5284489,0.961621857,0.87363594,0.813908054,162.7754691,179.1689669,192.317115
2008,6.48,238.0996124,0.980483768,0.890772035,0.829739862,242.8389129,267.2957872,286.9569407
2009,6.78,249.1227426,0.987931357,0.897538189,0.836067305,252.1660445,277.562276,297.9697221
2010,4.87,178.9421469,1,0.908502582,0.845809279,178.9421469,196.9638287,211.5632346
2011,5.7,209.4394738,1,0.927253762,0.863471557,178.9421469,225.8707188,242.5551508
2012,7.24,266.0248755,1,0.944342328,0.880033793,178.9421469,281.7038565,302.2893866
2013,7.77,285.4990722,1,0.959586649,0.895478386,178.9421469,297.5229726,318.8229627
2014,6.87,252.4296816,1,0.976809061,0.912049423,178.9421469,258.4227477,276.7719329
2015,5.99,220.0951664,1,0.987403713,0.920726556,178.9421469,222.9029154,239.0450943
2016,4.89,179.6770223,1,1,0.930389327,178.9421469,179.6770223,193.1202531
2017,3.89,142.9332549,1,1,0.947884399,178.9421469,179.6770223,150.7918636
2018,4.72,173.4305818,1,1,0.970642073,178.9421469,179.6770223,178.6761431
2019,5.16,189.5978395,1,1,0.987969938,178.9421469,179.6770223,191.9064864
2020,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2021,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2022,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2023,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2024,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2025,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2026,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2027,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2028,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2029,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2030,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2031,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2032,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2033,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2034,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2035,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2036,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2037,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2038,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2039,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2040,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2041,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2042,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2043,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2044,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2045,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2046,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2047,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2048,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2049,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
2050,4.58,168.2864544,1,1,1,178.9421469,179.6770223,168.2864544
